gcDNA Statistics

Total number of gcDNA of size greater then 20 is 708
Each gcDNA is seen a total of 1.0 times in the dataset for gcDNA greater then 20  bp's (708 sequences)
The std deviation of the distribution of sequences seen is 1.3
The median of the distribution of sequenes seen is 1
The mode of the distribution of sequenes seen is 1

The mean gcDNA size is 70.8
The median gcDNA size is 59.0
The mode gcDNA size is 44.0
The stdev of the gcDNA size is 31.5
This includes data between the values of 20 and 146

The following is the number of similar sequences found per sequenced gcDNA:

SEQUENCE_NAME	NUMBER_SEEN
A01	1
A03	1
A04	1
A06	1
A08	1
A11	1
A12	1
B01	1
B02	1
B03	2
B04	9
B05	1
B07	1
B08	1
B09	2
B10	1
B11	1
B12	2
C01	1
C02	1
C03	1
C04	1
C05	5
C06	1
C07	1
C08	1
C09	1
C10	7
C11	1
C12	2
D02	1
D03	1
D04	7
D05	6
D06	1
D07	1
D08	2
D09	1
D10	1
D11	1
D12	1
E01	1
E02	7
E03	1
E04	1
E05	4
E06	1
E07	3
E08	2
E10	3
E11	1
E12	2
F01	1
F02	1
F03	1
F04	1
F05	1
F06	1
F07	1
F09	1
F10	1
F11	5
F12	1
G01	1
G02	1
G04	1
G05	1
G06	3
G07	1
G08	4
G09	1
G10	2
G11	1
G12	1
H01	1
H04	1
H05	1
H06	1
H07	2
H08	1
H09	2
H10	1
H11	1
H12	1
A02	1
A03	1
A04	1
A05	1
A06	1
A07	1
A08	1
A09	1
A10	1
A11	1
A12	1
B01	1
B02	4
B03	1
B04	1
B05	1
B06	1
B07	1
B08	1
B09	1
B10	1
B11	1
B12	1
C01	2
C02	1
C03	1
C04	1
C05	1
C06	7
C07	1
C08	9
C09	1
C10	1
C12	1
D01	1
D02	1
D03	1
D05	1
D06	1
D07	4
D08	1
D09	1
D10	1
D11	1
E02	2
E03	1
E04	1
E05	1
E06	1
E08	1
E09	1
E10	1
E11	1
E12	1
F01	1
F02	1
F03	1
F04	1
F05	1
F06	1
F07	1
F08	1
F09	1
F10	1
F11	1
F12	1
G01	1
G02	2
G03	1
G04	1
G05	1
G06	1
G07	9
G09	1
G10	1
G11	1
G12	1
H01	1
H02	3
H03	1
H04	1
H05	2
H06	1
H07	1
H08	2
H09	1
H10	1
H11	1
MicroDiv_TO2106041_A01_gRNA_bandI_008_ab1	1
MicroDiv_TO2106041_A03_gRNA_bandI_016_ab1	2
MicroDiv_TO2106041_A04_gRNA_bandI_016_ab1	1
MicroDiv_TO2106041_A05_gRNA_bandI_024_ab1	2
MicroDiv_TO2106041_A07_gRNA_bandI_032_ab1	2
MicroDiv_TO2106041_A09_gRNA_bandI_040_ab1	2
MicroDiv_TO2106041_A10_gRNA_bandI_040_ab1	2
MicroDiv_TO2106041_A11_gRNA_bandI_048_ab1	2
MicroDiv_TO2106041_A12_gRNA_bandI_048_ab1	1
MicroDiv_TO2106041_B01_gRNA_bandI_007_ab1	1
MicroDiv_TO2106041_B04_gRNA_bandI_015_ab1	1
MicroDiv_TO2106041_B05_gRNA_bandI_023_ab1	1
MicroDiv_TO2106041_B07_gRNA_bandI_031_ab1	1
MicroDiv_TO2106041_B08_gRNA_bandI_031_ab1	3
MicroDiv_TO2106041_B09_gRNA_bandI_039_ab1	1
MicroDiv_TO2106041_B10_gRNA_bandI_039_ab1	1
MicroDiv_TO2106041_B11_gRNA_bandI_047_ab1	1
MicroDiv_TO2106041_B12_gRNA_bandI_047_ab1	1
MicroDiv_TO2106041_C03_gRNA_bandI_014_ab1	4
MicroDiv_TO2106041_C04_gRNA_bandI_014_ab1	1
MicroDiv_TO2106041_C05_gRNA_bandI_022_ab1	4
MicroDiv_TO2106041_C07_gRNA_bandI_030_ab1	2
MicroDiv_TO2106041_C08_gRNA_bandI_030_ab1	1
MicroDiv_TO2106041_C12_gRNA_bandI_046_ab1	2
MicroDiv_TO2106041_D01_gRNA_bandI_005_ab1	1
MicroDiv_TO2106041_D02_gRNA_bandI_005_ab1	1
MicroDiv_TO2106041_D03_gRNA_bandI_013_ab1	1
MicroDiv_TO2106041_D06_gRNA_bandI_021_ab1	2
MicroDiv_TO2106041_D09_gRNA_bandI_037_ab1	2
MicroDiv_TO2106041_D11_gRNA_bandI_045_ab1	3
MicroDiv_TO2106041_D12_gRNA_bandI_045_ab1	1
MicroDiv_TO2106041_E01_gRNA_bandI_004_ab1	9
MicroDiv_TO2106041_E03_gRNA_bandI_012_ab1	1
MicroDiv_TO2106041_E04_gRNA_bandI_012_ab1	2
MicroDiv_TO2106041_E05_gRNA_bandI_020_ab1	1
MicroDiv_TO2106041_E06_gRNA_bandI_020_ab1	2
MicroDiv_TO2106041_E08_gRNA_bandI_028_ab1	1
MicroDiv_TO2106041_E10_gRNA_bandI_036_ab1	1
MicroDiv_TO2106041_E11_gRNA_bandI_044_ab1	1
MicroDiv_TO2106041_E12_gRNA_bandI_044_ab1	1
MicroDiv_TO2106041_F01_gRNA_bandI_003_ab1	1
MicroDiv_TO2106041_F02_gRNA_bandI_003_ab1	2
MicroDiv_TO2106041_F03_gRNA_bandI_011_ab1	1
MicroDiv_TO2106041_F04_gRNA_bandI_011_ab1	1
MicroDiv_TO2106041_F06_gRNA_bandI_019_ab1	2
MicroDiv_TO2106041_F08_gRNA_bandI_027_ab1	1
MicroDiv_TO2106041_F11_gRNA_bandI_043_ab1	1
MicroDiv_TO2106041_G01_gRNA_bandI_002_ab1	6
MicroDiv_TO2106041_G02_gRNA_bandI_002_ab1	1
MicroDiv_TO2106041_G03_gRNA_bandI_010_ab1	2
MicroDiv_TO2106041_G09_gRNA_bandI_034_ab1	1
MicroDiv_TO2106041_G12_gRNA_bandI_042_ab1	1
MicroDiv_TO2106041_H01_gRNA_bandI_001_ab1	1
MicroDiv_TO2106041_H02_gRNA_bandI_001_ab1	2
MicroDiv_TO2106041_H04_gRNA_bandI_009_ab1	1
MicroDiv_TO2106041_H05_gRNA_bandI_017_ab1	1
MicroDiv_TO2106041_H06_gRNA_bandI_017_ab1	1
MicroDiv_TO2106041_H07_gRNA_bandI_025_ab1	2
MicroDiv_TO2106041_H08_gRNA_bandI_025_ab1	1
MicroDiv_TO2106041_H09_gRNA_bandI_033_ab1	1
MicroDiv_TO2106041_H10_gRNA_bandI_033_ab1	1
MicroDiv_TO2106041_H11_gRNA_bandI_041_ab1	1
MicroDiv_TO2106041_H12_gRNA_bandI_041_ab1	1
MicroDiv_TO2106042_A02_gRNA_bandII_008_ab1	2
MicroDiv_TO2106042_A03_gRNA_bandII_016_ab1	1
MicroDiv_TO2106042_A04_gRNA_bandII_016_ab1	1
MicroDiv_TO2106042_A05_gRNA_bandII_024_ab1	1
MicroDiv_TO2106042_A06_gRNA_bandII_024_ab1	1
MicroDiv_TO2106042_A08_gRNA_bandII_032_ab1	3
MicroDiv_TO2106042_A11_gRNA_bandII_048_ab1	1
MicroDiv_TO2106042_A12_gRNA_bandII_048_ab1	1
MicroDiv_TO2106042_B01_gRNA_bandII_007_ab1	1
MicroDiv_TO2106042_B02_gRNA_bandII_007_ab1	1
MicroDiv_TO2106042_B04_gRNA_bandII_015_ab1	1
MicroDiv_TO2106042_B05_gRNA_bandII_023_ab1	1
MicroDiv_TO2106042_B07_gRNA_bandII_031_ab1	1
MicroDiv_TO2106042_B08_gRNA_bandII_031_ab1	1
