Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii001B11.fa	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii002C04.fa	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	TbMini002_I13_TbMini002E07.b1_055.ab1	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	TbMini002_I14_TbMini002E07.g1_055.ab1	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	E07.g.ab1	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	G05.b.ab1	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	E06	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	E09	52	73	overlap-nojunction	blast match: evalue->0.041 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii002D07.fa	104	126	overlap-nojunction	blast match: evalue->7e-04 perc_identity->100
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii001C07.fa	109	134	overlap-nojunction	blast match: evalue->6e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii002E01.fa	111	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	A11	111	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	E11	111	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	B03.g.ab1	112	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	C10	112	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	H06	112	134	overlap-nojunction	blast match: evalue->5e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	437716_TRBINVRPTD	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	310955i_TRBKPGUIDE	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	TbMini002_I07_TbMini002E04.b1_024.ab1	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	TbMini002_K13_TbMini002F07.b1_053.ab1	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	TbMini002_N06_TbMni002aG03.g1_019.ab1	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
PC_11C05primer.ab1	4	284	4	279	0	0	TbMii001B11.fa	113	134	overlap-nojunction	blast match: evalue->4e-05 perc_identity->95.2380952380952
