TOCo3001_B02_TbOCo3001aA01.g1_015.ab1	1	317	362	635	317	362	TbMini002_E17_TbMini002C09.b1_075.ab1	519	545	edit-only	NOHIT
TOCo3001_B02_TbOCo3001aA01.g1_015.ab1	1	317	362	635	317	362	TbMini002_E18_TbMini002C09.g1_075.ab1	519	545	edit-only	NOHIT
TO2604042_F11_CO3BSC06M13R_044.ab1	2	219	224	723	219	224	TbMini002_B09_TbMni002aA05.b1_047.ab1	368	392	edit-only	NOHIT
TO161203_A09_B5A05M13R_047.ab1	7	159	157	566	0	0	TbMini002_E13_TbMini002C07.b1_059.ab1	210	231	edit-only	NOHIT
TO2604042_E19_C03PCC10M13R_076.ab1	1	27	32	336	27	32	TbMini002_L07_TbMni002aF04.b1_022.ab1	275	296	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii001A12.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii001E01.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii001F11.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii001F12.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii001G04.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMii002B08.fa	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMini002_B08_TbMni002aA04.g1_032.ab1	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMini002_I10_TbMini002E05.g1_039.ab1	594	615	edit-only	NOHIT
TOCo3001_F20_TbOCo3001aC10.g1_076.ab1	1	178	186	770	178	186	TbMini002_L16_TbMni002aF08.g1_054.ab1	594	615	edit-only	NOHIT
