Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO161203_H08_B8D04M13R_026.ab1	93	1132	93	1132	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	99	120	overlap-nojunction	NOHIT
TO161203_H08_B8D04M13R_026.ab1	93	1132	93	1132	0	0	TbMii001D01.fa	486	508	overlap-nojunction	NOHIT
TO161203_H08_B8D04M13R_026.ab1	93	1132	93	1132	0	0	TbMii001D10.fa	942	963	overlap-nojunction	blast match: evalue->0.010 perc_identity->100
TO161203_H08_B8D04M13R_026.ab1	93	1132	93	1132	0	0	F01	942	963	overlap-nojunction	blast match: evalue->0.010 perc_identity->100
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	TbMini002_J12_TbMni002aE06.g1_040.ab1	5	26	odd-structure	blast match: evalue->0.15 perc_identity->100
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	TbMini002_E15_TbMini002C08.b1_060.ab1	160	181	overlap-nojunction	NOHIT
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	TbMini002_M15_TbMini002G08.b1_052.ab1	165	188	overlap-nojunction	blast match: evalue->0.18 perc_identity->100
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	TbMii001D01.fa	493	515	overlap-nojunction	NOHIT
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	TbMii001D10.fa	949	970	overlap-nojunction	blast match: evalue->0.010 perc_identity->100
TO171203_P08_B12H04M13R_018.ab1	93	1139	93	1139	0	0	F01	949	970	overlap-nojunction	blast match: evalue->0.010 perc_identity->100
TO161203_L15_B6F08M13R_054.ab1	21	1113	55	1113	0	0	TbMii001D01.fa	467	489	overlap-nojunction	NOHIT
TO161203_L15_B6F08M13R_054.ab1	21	1113	55	1113	0	0	TbMii001D10.fa	923	944	overlap-nojunction	blast match: evalue->0.010 perc_identity->100
