Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO171203_L12_B12F06M13R_038.ab1	4	215	4	35	0	0	TbMini002_I12_TbMini002E06.g1_040.ab1	61	82	pre-edit-only	blast match: evalue->0.005 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_I12_TbMini002E06.g1_040.ab1	61	82	pre-edit-only	blast match: evalue->0.005 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMii002F02.fa	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_G03_TbMini002D02.b1_010.ab1	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_H13_TbMni002aD07.b1_057.ab1	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_H14_TbMni002aD07.g1_057.ab1	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	A05.g.ab1	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	B10.g.ab1	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	A09	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	A10	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	C05	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	C09	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	D11	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	D12	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	E02	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	F05	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	F06	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	G08	112	150	edit-only	blast match: evalue->2e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMii002H01.fa	116	137	edit-only	blast match: evalue->3e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_E09_TbMini002C05.b1_043.ab1	116	137	edit-only	blast match: evalue->3e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_E10_TbMini002C05.g1_043.ab1	116	137	edit-only	blast match: evalue->3e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	A03	116	152	edit-only	blast match: evalue->6e-04 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMini002_J05_TbMni002aE03.b1_023.ab1	138	159	edit-only	blast match: evalue->0.075 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMii001C09.fa	139	171	edit-only	blast match: evalue->0.13 perc_identity->100
TO151203_N04_B4G02m13r_004.ab1	4	96	109	277	96	109	TbMii001H01.fa	139	171	edit-only	blast match: evalue->0.13 perc_identity->100
