Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_N20_TbMni002aG10.g1_068.ab1	78	108	edit-only	blast match: evalue->0.16 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_C21_TbMini002B11.b1_093.ab1	79	106	edit-only	blast match: evalue->0.14 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMii002G01.fa	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMii002G05.fa	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMii002H08.fa	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_A21_TbMini002A11.b1_095.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_A22_TbMini002A11.g1_095.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_B09_TbMni002aA05.b1_047.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_C22_TbMini002B11.g1_093.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_D23_TbMni002aB12.b1_094.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_D24_TbMni002aB12.g1_094.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_F23_TbMni002aC12.b1_092.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_G05_TbMini002D03.b1_025.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_I21_TbMini002E11.b1_087.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_I22_TbMini002E11.g1_087.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	H03.g.ab1	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	E10	79	108	edit-only	blast match: evalue->0.15 perc_identity->100
TO2604042_G06_ND7PCD03M13R_025.ab1	131	784	78	205	0	0	TbMini002_I01_TbMini002E01.b1_007.ab1	270	292	pre-edit-only	blast match: evalue->0.42 perc_identity->100
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMii001A04.fa	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMii001C08.fa	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMii002C02.fa	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMini002_D11_TbMni002aB06.b1_046.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMini002_D12_TbMni002aB06.g1_046.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	TbMini002_K08_TbMini002F04.g1_022.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	A02.g.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	B02.g.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	B07.g.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	B12.g.ab1	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	D09	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	E03	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	G01	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	H05	706	729	lead-out	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_H14_ND7BSD07M13R_057.ab1	18	705	706	792	705	706	E04	708	729	edit-only	blast match: evalue->0.006 perc_identity->94.4444444444444
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMini002_K07_TbMini002F04.b1_022.ab1	710	732	edit-only	blast match: evalue->0.42 perc_identity->100
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMii001A04.fa	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMii001C08.fa	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMii002C02.fa	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMini002_D11_TbMni002aB06.b1_046.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMini002_D12_TbMni002aB06.g1_046.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	TbMini002_K08_TbMini002F04.g1_022.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	A02.g.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	B02.g.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	B07.g.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	B12.g.ab1	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	D09	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	E03	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	G01	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	H05	710	736	edit-only	blast match: evalue->0.002 perc_identity->91.304347826087
TO2604042_N18_ND7BSG09M13R_067.ab1	9	684	683	799	0	0	E04	715	736	edit-only	blast match: evalue->0.006 perc_identity->94.4444444444444
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	437721_TRBINVRPTI	63	86	edit-only	blast match: evalue->0.45 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_C21_TbMini002B11.b1_093.ab1	79	106	edit-only	blast match: evalue->0.14 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMii002G01.fa	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMii002G05.fa	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMii002H08.fa	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_A21_TbMini002A11.b1_095.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_A22_TbMini002A11.g1_095.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_B09_TbMni002aA05.b1_047.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_C22_TbMini002B11.g1_093.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_D23_TbMni002aB12.b1_094.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_D24_TbMni002aB12.g1_094.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_F23_TbMni002aC12.b1_092.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_G05_TbMini002D03.b1_025.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_I21_TbMini002E11.b1_087.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_I22_TbMini002E11.g1_087.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	H03.g.ab1	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	E10	79	118	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_N20_TbMni002aG10.g1_068.ab1	84	117	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_I07_TbMini002E04.b1_024.ab1	101	144	overlap-nojunction	blast match: evalue->0.27 perc_identity->100
TO2604042_N14_ND7BSG07M13R_051.ab1	131	495	44	205	0	0	TbMini002_K13_TbMini002F07.b1_053.ab1	101	144	overlap-nojunction	blast match: evalue->0.27 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	437721_TRBINVRPTI	66	89	edit-only	blast match: evalue->0.029 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_F15_TbMni002aC08.b1_060.ab1	68	91	edit-only	blast match: evalue->0.007 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_N20_TbMni002aG10.g1_068.ab1	77	120	edit-only	blast match: evalue->0.017 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_C21_TbMini002B11.b1_093.ab1	82	109	edit-only	blast match: evalue->0.14 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMii002G01.fa	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMii002G05.fa	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMii002H08.fa	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_A21_TbMini002A11.b1_095.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_A22_TbMini002A11.g1_095.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_B09_TbMni002aA05.b1_047.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_C22_TbMini002B11.g1_093.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_D23_TbMni002aB12.b1_094.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_D24_TbMni002aB12.g1_094.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_F23_TbMni002aC12.b1_092.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_G05_TbMini002D03.b1_025.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_I21_TbMini002E11.b1_087.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_I22_TbMini002E11.g1_087.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	H03.g.ab1	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	E10	82	121	edit-only	blast match: evalue->0.23 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_I07_TbMini002E04.b1_024.ab1	104	135	edit-only	blast match: evalue->0.17 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	TbMini002_K13_TbMini002F07.b1_053.ab1	104	135	edit-only	blast match: evalue->0.17 perc_identity->100
TO2604042_N10_ND7BSG05M13R_035.ab1	137	729	59	208	0	0	437719_TRBINVRPTG	733	755	odd-structure	blast match: evalue->0.11 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_C21_TbMini002B11.b1_093.ab1	90	112	edit-only	blast match: evalue->0.11 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_N20_TbMni002aG10.g1_068.ab1	90	123	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMii002G01.fa	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMii002G05.fa	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMii002H08.fa	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_A21_TbMini002A11.b1_095.ab1	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_A22_TbMini002A11.g1_095.ab1	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_B09_TbMni002aA05.b1_047.ab1	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
TO2604042_I12_ND7PCE06M13R_040.ab1	137	745	79	211	0	0	TbMini002_C22_TbMini002B11.g1_093.ab1	90	124	edit-only	blast match: evalue->0.19 perc_identity->100
