MINICIRCLE Statistics

Total number of minicircles of size greater then 300 is 455
Each minicircle is seen a total of 19.1 times in the dataset for minicircles greater then 300  bp's (455 sequences)
The std deviation of the distribution of sequences seen is 20.5
The median of the distribution of sequenes seen is 12.0
The mode of the distribution of sequenes seen is 1

The mean minicircle size is 761.3
The median minicircle size is 770.0
The mode minicircle size is 422.0
The stdev of the minicircle size is 317.0
This includes data between the values of 303 and 2203

The following is the number of similar sequences found per minicircle:

SEQUENCE_NAME	NUMBER_SEEN
10517_TBREP2	1
14268_TBREP1	1
468930_TRBCSGRA	1
468931_TRBCSGRB	1
437714_TRBINVRPTB	1
437715_TRBINVRPTC	1
437716_TRBINVRPTD	1
437717_TRBINVRPTE	1
437718_TRBINVRPTF	1
437719_TRBINVRPTG	1
437720_TRBINVRPTH	1
437721_TRBINVRPTI	1
310955i_TRBKPGUIDE	1
343556_TRBKPMCC	1
343558_TRBKPMCD	1
515978_TBU03908	1
TbMii001A01.fa	2
TbMii001A02.fa	56
TbMii001A04.fa	13
TbMii001A05.fa	48
TbMii001A07.fa	1
TbMii001A10.fa	5
TbMii001A11.fa	2
TbMii001A12.fa	1
TbMii001B01.fa	56
TbMii001B03.fa	1
TbMii001B04.fa	56
TbMii001B06.fa	1
TbMii001B07.fa	56
TbMii001B09.fa	15
TbMii001B12.fa	56
TbMii001C02.fa	56
TbMii001C03.fa	1
TbMii001C05.fa	5
TbMii001C08.fa	10
TbMii001C09.fa	13
TbMii001D01.fa	1
TbMii001D02.fa	18
TbMii001D04.fa	48
TbMii001D07.fa	56
TbMii001D09.fa	48
TbMii001D10.fa	2
TbMii001E01.fa	11
TbMii001E04.fa	2
TbMii001E06.fa	56
TbMii001E08.fa	18
TbMii001E10.fa	2
TbMii001F06.fa	18
TbMii001F11.fa	11
TbMii001F12.fa	11
TbMii001G04.fa	11
TbMii001G05.fa	15
TbMii001H01.fa	13
TbMii001H07.fa	18
TbMii001H10.fa	48
TbMii002A09.fa	5
TbMii002A12.fa	15
TbMii002B02.fa	56
TbMii002B04.fa	1
TbMii002B08.fa	11
TbMii002B11.fa	2
TbMii002C02.fa	13
TbMii002C03.fa	48
TbMii002C08.fa	49
TbMii002C09.fa	56
TbMii002C12.fa	48
TbMii002D02.fa	48
TbMii002D05.fa	48
TbMii002D08.fa	1
TbMii002D11.fa	13
TbMii002E01.fa	3
TbMii002E02.fa	48
TbMii002F02.fa	13
TbMii002F03.fa	56
TbMii002F06.fa	18
TbMii002F08.fa	13
TbMii002F09.fa	18
TbMii002G01.fa	10
TbMii002G02.fa	48
TbMii002G04.fa	15
TbMii002G05.fa	10
TbMii002G09.fa	1
TbMii002G10.fa	18
TbMii002G12.fa	3
TbMii002H01.fa	3
TbMii002H03.fa	48
TbMii002H05.fa	48
TbMii002H06.fa	48
TbMii002H07.fa	1
TbMii002H08.fa	10
TbMii002H09.fa	56
TbMini002_A01_TbMini002A01.b1_015.ab1	56
TbMini002_A02_TbMini002A01.g1_015.ab1	56
TbMini002_A05_TbMini002A03.b1_031.ab1	1
TbMini002_A08_TbMini002A04.g1_032.ab1	5
TbMini002_A10_TbMini002A05.g1_047.ab1	14
TbMini002_A17_TbMini002A09.b1_079.ab1	56
TbMini002_A18_TbMini002A09.g1_079.ab1	56
TbMini002_A19_TbMini002A10.b1_080.ab1	2
TbMini002_A20_TbMini002A10.g1_080.ab1	2
TbMini002_A21_TbMini002A11.b1_095.ab1	1
TbMini002_A22_TbMini002A11.g1_095.ab1	1
TbMini002_A23_TbMini002A12.b1_096.ab1	2
TbMini002_A24_TbMini002A12.g1_096.ab1	2
TbMini002_B01_TbMni002aA01.b1_015.ab1	56
TbMini002_B03_TbMni002aA02.b1_016.ab1	1
TbMini002_B08_TbMni002aA04.g1_032.ab1	11
TbMini002_B09_TbMni002aA05.b1_047.ab1	1
TbMini002_B10_TbMni002aA05.g1_047.ab1	3
TbMini002_B13_TbMni002aA07.b1_063.ab1	56
TbMini002_B14_TbMni002aA07.g1_063.ab1	56
TbMini002_B16_TbMni002aA08.g1_064.ab1	6
TbMini002_B18_TbMni002aA09.g1_079.ab1	1
TbMini002_C13_TbMini002B07.b1_061.ab1	56
TbMini002_C14_TbMini002B07.g1_061.ab1	56
TbMini002_C17_TbMini002B09.b1_077.ab1	3
TbMini002_C18_TbMini002B09.g1_077.ab1	1
TbMini002_C21_TbMini002B11.b1_093.ab1	14
TbMini002_C22_TbMini002B11.g1_093.ab1	1
TbMini002_D01_TbMni002aB01.b1_013.ab1	53
TbMini002_D06_TbMni002aB03.g1_029.ab1	1
TbMini002_D07_TbMni002aB04.b1_030.ab1	12
TbMini002_D09_TbMni002aB05.b1_045.ab1	1
TbMini002_D10_TbMni002aB05.g1_045.ab1	48
TbMini002_D11_TbMni002aB06.b1_046.ab1	13
TbMini002_D12_TbMni002aB06.g1_046.ab1	13
TbMini002_D17_TbMni002aB09.b1_077.ab1	56
TbMini002_D18_TbMni002aB09.g1_077.ab1	56
TbMini002_D21_TbMni002aB11.b1_093.ab1	56
TbMini002_D22_TbMni002aB11.g1_093.ab1	56
TbMini002_D23_TbMni002aB12.b1_094.ab1	1
TbMini002_D24_TbMni002aB12.g1_094.ab1	1
TbMini002_E01_TbMini002C01.b1_011.ab1	56
TbMini002_E02_TbMini002C01.g1_011.ab1	56
TbMini002_E05_TbMini002C03.b1_027.ab1	56
TbMini002_E06_TbMini002C03.g1_027.ab1	56
TbMini002_E09_TbMini002C05.b1_043.ab1	3
TbMini002_E11_TbMini002C06.b1_044.ab1	3
TbMini002_E17_TbMini002C09.b1_075.ab1	1
TbMini002_E19_TbMini002C10.b1_076.ab1	48
TbMini002_E20_TbMini002C10.g1_076.ab1	1
TbMini002_E23_TbMini002C12.b1_092.ab1	50
TbMini002_F10_TbMni002aC05.g1_043.ab1	1
TbMini002_F12_TbMni002aC06.g1_044.ab1	12
TbMini002_F13_TbMni002aC07.b1_059.ab1	3
TbMini002_F14_TbMni002aC07.g1_059.ab1	1
TbMini002_F21_TbMni002aC11.b1_091.ab1	56
TbMini002_F22_TbMni002aC11.g1_091.ab1	56
TbMini002_F23_TbMni002aC12.b1_092.ab1	1
TbMini002_F24_TbMni002aC12.g1_092.ab1	16
TbMini002_G03_TbMini002D02.b1_010.ab1	14
TbMini002_G04_TbMini002D02.g1_010.ab1	14
TbMini002_G05_TbMini002D03.b1_025.ab1	11
TbMini002_G06_TbMini002D03.g1_025.ab1	15
TbMini002_G07_TbMini002D04.b1_026.ab1	1
TbMini002_G11_TbMini002D06.b1_042.ab1	18
TbMini002_G19_TbMini002D10.b1_074.ab1	48
TbMini002_G21_TbMini002D11.b1_089.ab1	1
TbMini002_G24_TbMini002D12.g1_090.ab1	14
TbMini002_H01_TbMni002aD01.b1_009.ab1	1
TbMini002_H05_TbMni002aD03.b1_025.ab1	18
TbMini002_H07_TbMni002aD04.b1_026.ab1	56
TbMini002_H08_TbMni002aD04.g1_026.ab1	56
TbMini002_H13_TbMni002aD07.b1_057.ab1	12
TbMini002_H14_TbMni002aD07.g1_057.ab1	14
TbMini002_H15_TbMni002aD08.b1_058.ab1	1
TbMini002_H16_TbMni002aD08.g1_058.ab1	2
TbMini002_I01_TbMini002E01.b1_007.ab1	1
TbMini002_I03_TbMini002E02.b1_008.ab1	49
