Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	437719_TRBINVRPTG	264	285	overlap-nojunction	blast match: evalue->0.014 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMii002D07.fa	265	291	overlap-nojunction	blast match: evalue->0.020 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMii002F02.fa	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMini002_G04_TbMini002D02.g1_010.ab1	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMini002_H13_TbMni002aD07.b1_057.ab1	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMini002_H14_TbMni002aD07.g1_057.ab1	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	A05.g.ab1	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	B10.g.ab1	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	A09	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	A10	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	C05	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	C09	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	D11	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	D12	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	E02	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	F05	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	F06	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	G08	267	289	overlap-nojunction	blast match: evalue->0.016 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMii001E10.fa	267	290	overlap-nojunction	blast match: evalue->0.017 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMii002B11.fa	267	290	overlap-nojunction	blast match: evalue->0.017 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMini002_K19_TbMini002F10.b1_070.ab1	269	290	overlap-nojunction	blast match: evalue->0.014 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMini002_K20_TbMini002F10.g1_070.ab1	269	290	overlap-nojunction	blast match: evalue->0.014 perc_identity->100
TO151203_N17_B2G09m13r_067.ab1	29	664	23	689	0	0	TbMii001E12.fa	636	658	overlap-nojunction	NOHIT
TO161203_I02_B7E01M13R_007.ab1	4	619	4	646	0	0	437721_TRBINVRPTI	195	217	overlap-nojunction	blast match: evalue->0.062 perc_identity->100
TO161203_I02_B7E01M13R_007.ab1	4	619	4	646	0	0	TbMii001A07.fa	218	241	overlap-nojunction	blast match: evalue->0.017 perc_identity->100
TO161203_I02_B7E01M13R_007.ab1	4	619	4	646	0	0	437721_TRBINVRPTI	220	241	overlap-nojunction	blast match: evalue->0.014 perc_identity->100
TO161203_I02_B7E01M13R_007.ab1	4	619	4	646	0	0	TbMii001D06.fa	220	241	overlap-nojunction	blast match: evalue->0.014 perc_identity->100
