Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_H10_TbMni002aD05.g1_041.ab1	82	103	pre-edit-only	blast match: evalue->0.52 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_N07_TbMni002aG04.b1_020.ab1	92	113	pre-edit-only	blast match: evalue->0.52 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_C03_TbMini002B02.b1_014.ab1	95	116	pre-edit-only	blast match: evalue->0.52 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_K08_TbMini002F04.g1_022.ab1	164	185	pre-edit-only	blast match: evalue->0.13 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	468930_TRBCSGRA	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMii002D01.fa	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_F19_TbMni002aC10.b1_076.ab1	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_F20_TbMni002aC10.g1_076.ab1	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_P05_TbMni002aH03.b1_017.ab1	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMini002_P06_TbMni002aH03.g1_017.ab1	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	H08	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	H09	200	221	lead-out	blast match: evalue->0.008 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMii001D02.fa	203	232	edit-only	blast match: evalue->0.013 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMii001E08.fa	203	232	edit-only	blast match: evalue->0.013 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMii001F06.fa	203	232	edit-only	blast match: evalue->0.013 perc_identity->100
TO151203_G16_B3D08m13r_058.ab1	4	198	201	606	198	201	TbMii001H07.fa	203	232	edit-only	blast match: evalue->0.013 perc_identity->100
