Transcript name	pre-edit start	pre-edit stop	edit start	edit stop	junction start	junction stop	gRNA name	gRNA start	gRNA stop	junction type	blast vs. parent
TO161203_G17_B5D09M13R_073.ab1	4	358	377	409	358	377	TbMini002_P16_TbMni002aH08.g1_050.ab1	44	65	pre-edit-only	NOHIT
TO161203_G17_B5D09M13R_073.ab1	4	358	377	409	358	377	TbMini002_J05_TbMni002aE03.b1_023.ab1	289	314	pre-edit-only	NOHIT
TO161203_G17_B5D09M13R_073.ab1	4	358	377	409	358	377	A08	334	355	pre-edit-only	blast match: evalue->0.050 perc_identity->100
120303TO_G02_15_004.ab1	4	341	318	341	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	27	48	pre-edit-only	NOHIT
120303TO_G02_15_004.ab1	4	341	318	341	0	0	A08	317	338	overlap-nojunction	blast match: evalue->0.050 perc_identity->100
TO270442_ND8BSD09M13R_H17.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSD09M13R_H17.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8BSF02M13R_L03.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSF02M13R_L03.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8BSC08M13R_F15.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSC08M13R_F15.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO161203_O09_B5H05M13R_033.ab1	4	358	375	407	358	375	TbMini002_P16_TbMni002aH08.g1_050.ab1	44	65	pre-edit-only	NOHIT
TO161203_O09_B5H05M13R_033.ab1	4	358	375	407	358	375	TbMini002_J05_TbMni002aE03.b1_023.ab1	289	314	pre-edit-only	NOHIT
TO161203_O09_B5H05M13R_033.ab1	4	358	375	407	358	375	A08	334	355	pre-edit-only	blast match: evalue->0.050 perc_identity->100
TO161203_O09_B5H05M13R_033.ab1	4	358	375	407	358	375	TbMini002_K15_TbMini002F08.b1_054.ab1	358	379	overlap	blast match: evalue->0.050 perc_identity->100
TO270442_ND8BSE04M13R_J07.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSE04M13R_J07.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8PCC08M13R_E15.ab1	1	344	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8PCC08M13R_E15.ab1	1	344	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8BSD06M13R_H11.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSD06M13R_H11.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8BSC07M13R_F13.ab1	1	341	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	277	302	pre-edit-only	NOHIT
TO270442_ND8BSF11M13R_L21.ab1	1	345	1	27	0	0	TbMini002_P16_TbMni002aH08.g1_050.ab1	36	57	pre-edit-only	NOHIT
TO270442_ND8BSF11M13R_L21.ab1	1	345	1	27	0	0	TbMini002_J05_TbMni002aE03.b1_023.ab1	281	306	pre-edit-only	NOHIT
TO270442_ND8BSH05M13R_P09.ab1	1	40	37	512	0	0	D04	38	82	overlap-nojunction	blast match: evalue->0.009 perc_identity->100
TO270442_ND8BSH05M13R_P09.ab1	1	40	37	512	0	0	437714_TRBINVRPTB	43	79	edit-only	blast match: evalue->0.028 perc_identity->100
TO270442_ND8BSH05M13R_P09.ab1	1	40	37	512	0	0	TbMini002_P11_TbMni002aH06.b1_034.ab1	52	74	edit-only	blast match: evalue->0.054 perc_identity->100
TO270442_ND8BSH05M13R_P09.ab1	1	40	37	512	0	0	A06.g.ab1	54	76	edit-only	blast match: evalue->0.054 perc_identity->100
TO270442_ND8BSH05M13R_P09.ab1	1	40	37	512	0	0	437716_TRBINVRPTD	62	94	edit-only	blast match: evalue->0.006 perc_identity->100
